Date,energy_statarb,vix_carry
2010-03-31,-0.4852635801365033,0.0104987840982195
2010-04-01,0.5358339287707476,0.0079470616925317
2010-04-05,0.1106299863862751,0.0462667549016156
2010-04-06,0.0267276315046313,0.0311199087138046
2010-04-07,0.0632195710158327,-0.0283305066262259
2010-04-08,0.174424036356764,0.0254610641982731
2010-04-09,0.0712701912002529,0.0144302648290287
2010-04-12,-0.3100916008480201,0.005830920310793
2010-04-13,-0.277976568766088,-0.0029197101033346
2010-04-14,0.4826727526668941,0.0265894541892394
2010-04-15,0.7088421819161398,-0.0
2010-04-16,-1.1955511024493948,-0.0860128746600401
2010-04-19,0.1785290768543646,0.0449513878622663
2010-04-20,-0.2174319832856868,0.083881483980702
2010-04-21,0.3498683815228474,-0.0053619431413853
2010-04-22,-0.0506026008831147,-0.0
2010-04-23,-0.1919660280977321,0.0107527917762617
2010-04-26,-0.4738790207890447,-0.0134230203321407
2010-04-27,-1.215995136657778,-0.0071514011576253
2010-04-28,1.1505993928357716,-0.0005
2010-04-29,-0.4162891520887823,0.0328947094507413
2010-04-30,-0.5712811207724247,-0.0002082542694497
2010-05-03,-0.4323104893775331,0.036478886835174
2010-05-04,0.1049724304057226,-0.0198918030416868
2010-05-05,0.7320152628141431,-0.025414807855873
2010-05-06,0.0988513258235375,-0.1123309433389395
2010-05-07,-0.3334400663969203,-0.0002930549979927
2010-05-10,-0.070226605287524,0.0
2010-05-11,-0.7767060151587956,0.0005986621393147
2010-05-12,-2.066714739174336,0.0152036310237315
2010-05-13,-0.5690957450042508,-0.0140441783832932
2010-05-14,0.2587475721224905,-0.0525258986668237
2010-05-17,1.1724006885680989,-0.0001742878560719
2010-05-18,-0.111006741196147,-0.0
2010-05-19,1.4068634641707731,0.0
2010-05-20,0.0343906781738451,-0.0
2010-05-21,0.0452762568848099,0.0
2010-05-24,-0.3204291895085117,0.0
2010-05-25,-0.1227233528806998,0.0
2010-05-26,-0.1692718595088829,0.0023504916380375
2010-05-27,-0.1830907504799474,-4.189540595203712e-05
2010-05-28,0.1159234171127909,-0.0082416656501698
2010-06-01,0.0144372676315564,-0.0001617250673854
2010-06-02,0.3396193329444729,0.0
2010-06-03,0.0185586965956699,0.0011012267065331
2010-06-04,-0.0059999819304568,-0.0332280019089431
2010-06-07,-0.0076517492559969,-0.000132382892057
2010-06-08,-0.1521565665521996,0.0
2010-06-09,-0.1196842970317471,0.0
2010-06-10,0.2130181487306118,0.001772791767575
2010-06-11,0.0216915806706154,0.013124747380812
2010-06-14,0.1859655023401746,0.019226762928234
2010-06-15,-0.3113845984467983,0.072989916565866
2010-06-16,0.8387120382418601,0.024669520347918
2010-06-17,-1.0003826073437654,0.0199811466688999
2010-06-18,0.9063838901673452,0.0147877001543793
2010-06-21,-0.0012740766698803,-0.0092679069307814
2010-06-22,-0.0069266580396198,-0.0468554172815049
2010-06-23,-0.2287581640417019,-0.010670770287789
2010-06-24,-0.0419014909522532,-0.054427675929954
2010-06-25,0.0687667354852309,0.0160703261357267
2010-06-28,0.0229800710343563,-0.0102663941392599
2010-06-29,-0.1098726612985042,-0.0712515465023733
2010-06-30,-0.0044539081481132,-0.0011707449485894
2010-07-01,-0.1275739864785406,0.0032044002920029
2010-07-02,-0.015240693465438,0.0195748568221175
2010-07-06,0.0983610258389487,0.0725368117664583
2010-07-07,-0.0511941417168435,0.0595010423883694
2010-07-08,-0.0135981854897806,0.0218366990670842
2010-07-09,0.0722102398066484,0.0186572576045427
2010-07-12,-0.0215530821464443,0.0267191467335096
